Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
295652,00000410,false,Rx,0,8,37,00,04,61,00,FF,04,A9,
295928,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
296200,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,04,04,
304119,00000231,false,Rx,0,8,00,01,00,00,00,00,0B,0A,
304377,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
314089,00000332,false,Rx,0,8,01,00,00,00,00,00,0A,0B,
314326,00000530,false,Rx,0,8,FF,FF,79,83,27,11,D2,00,
315127,00000231,false,Rx,0,8,00,01,00,00,00,00,0C,0D,
315351,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
316126,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,05,A1,
316377,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,05,7D,
316653,00000410,false,Rx,0,8,37,00,04,61,00,FF,05,A8,
316903,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
317213,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,05,05,
326079,00000231,false,Rx,0,8,00,01,00,00,00,00,0D,0C,
326351,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
337482,00000231,false,Rx,0,8,00,01,00,00,00,00,0E,0F,
337499,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,06,A2,
337788,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,06,7E,
337971,00000410,false,Rx,0,8,37,00,06,29,00,FF,06,E1,
338469,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
338508,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,06,06,
338815,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
348100,00000231,false,Rx,0,8,00,01,00,00,00,00,0F,0E,
348384,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
358414,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,07,A3,
358428,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,07,7F,
358740,00000410,false,Rx,0,8,37,00,06,29,00,FF,07,E0,
358999,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
359253,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,07,07,
359742,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
359784,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
370382,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
370396,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
379387,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,08,AC,
379425,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,08,70,
379691,00000410,false,Rx,0,8,3B,00,06,29,00,FF,08,E3,
380189,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
380234,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,08,08,
381393,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
381407,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
392331,00000231,false,Rx,0,8,00,01,00,00,00,00,04,05,
392379,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
400378,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,09,AD,
400423,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,09,71,
400668,00000410,false,Rx,0,8,3B,00,06,29,00,FF,09,E2,
401022,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
401228,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,09,09,
403327,00000231,false,Rx,0,8,00,01,00,00,00,00,05,04,
403372,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
414382,00000231,false,Rx,0,8,00,01,00,00,00,00,06,07,
414396,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
415376,00000332,false,Rx,0,8,01,00,00,00,00,00,0B,0A,
415389,00000530,false,Rx,0,8,FF,FF,79,84,27,11,D2,00,
421389,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0A,AE,
421402,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0A,72,
421670,00000410,false,Rx,0,8,3B,00,AA,20,00,FF,0A,44,
422300,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
422313,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0A,0A,
425337,00000231,false,Rx,0,8,00,01,00,00,00,00,07,06,
425383,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
436326,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
436378,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
442384,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0B,AF,
442400,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0B,73,
442676,00000410,false,Rx,0,8,3B,00,AA,20,00,FF,0B,45,
442955,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
443240,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0B,0B,
447107,00000231,false,Rx,0,8,00,01,00,00,00,00,09,08,
447358,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
458107,00000231,false,Rx,0,8,00,01,00,00,00,00,0A,0B,
458359,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
463133,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0D,A9,
463384,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0D,75,
463635,00000410,false,Rx,0,8,3B,00,AA,20,00,FF,0C,42,
463910,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
464209,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0C,0C,
469084,00000231,false,Rx,0,8,00,01,00,00,00,00,0B,0A,
469358,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
480086,00000231,false,Rx,0,8,00,01,00,00,00,00,0C,0D,
480382,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
484142,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0E,AA,
484383,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0E,76,
484633,00000410,false,Rx,0,8,37,00,AA,20,00,FF,0D,4F,
