Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1453472044,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453472295,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453472525,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453475821,00000231,false,Rx,0,8,00,01,00,00,00,00,0E,0F,
1453476043,00000010,false,Rx,0,8,00,FF,61,30,00,00,06,A8,
1453476291,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1453476543,00000012,false,Rx,0,8,99,99,32,00,01,00,03,30,
1453477821,00000400,false,Rx,0,8,00,0B,58,F0,00,01,06,A4,
1453478095,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,06,7E,
1453478367,00000410,false,Rx,0,8,43,00,00,00,00,FF,06,BA,
1453478643,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1453478919,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,06,06,
1453480127,00000102,false,Rx,0,8,00,00,19,54,56,CD,0C,DA,
1453480367,00000103,false,Rx,0,8,02,00,02,00,00,00,0C,0C,
1453480592,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,0E,CA,
1453486816,00000231,false,Rx,0,8,00,01,00,00,00,00,0F,0E,
1453487045,00000010,false,Rx,0,8,00,FF,61,30,00,00,07,A9,
1453487293,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453490146,00000102,false,Rx,0,8,00,00,19,54,56,CD,0D,DB,
1453490368,00000103,false,Rx,0,8,02,00,02,00,00,00,0D,0D,
1453490593,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,0F,CB,
1453490857,00000110,false,Rx,0,8,00,00,00,7B,01,05,0F,70,
1453491096,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1453491367,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1453491565,00000316,false,Rx,0,8,13,AD,01,2B,53,00,00,00,
1453491819,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453492045,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453492296,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
