Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1079851,00000231,false,Rx,0,8,00,01,00,00,00,00,04,05,
1084851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1089851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,01,AD,
1094851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,01,79,
1099851,00000410,false,Rx,0,8,3F,00,C4,00,00,FF,01,05,
1104851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1109851,00000010,false,Rx,0,8,00,FF,61,30,00,00,02,AC,
1114851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,01,01,
1119851,00000012,false,Rx,0,8,99,99,32,00,01,00,09,3A,
1124851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,03,C9,
1129851,00000103,false,Rx,0,8,02,00,02,00,00,00,03,03,
1134851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,05,98,
1139851,00000110,false,Rx,0,8,00,00,00,7B,01,05,02,7D,
1144851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1149851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1154851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1159851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1164851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
1169851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1174851,00000231,false,Rx,0,8,00,01,00,00,00,00,05,04,
1179851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1184851,00000010,false,Rx,0,8,00,FF,61,30,00,00,03,AD,
1189851,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1194851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,04,CE,
1199851,00000103,false,Rx,0,8,02,00,02,00,00,00,04,04,
1204851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,06,9B,
1209851,00000231,false,Rx,0,8,00,01,00,00,00,00,06,07,
1214851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1219851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,02,AE,
1224851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,02,7A,
1229851,00000410,false,Rx,0,8,3F,00,C4,00,00,FF,02,06,
1234851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1239851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,02,02,
1244851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,05,CF,
1249851,00000010,false,Rx,0,8,00,FF,61,30,00,00,04,AA,
1254851,00000103,false,Rx,0,8,02,00,02,00,00,00,05,05,
1259851,00000012,false,Rx,0,8,99,99,32,00,00,00,0A,38,
1264851,00000110,false,Rx,0,8,00,00,00,7B,01,05,03,7C,
1269851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,07,9A,
1274851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1279851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1284851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1289851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1294851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
1299851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1304851,00000231,false,Rx,0,8,00,01,00,00,00,00,07,06,
1309851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1314851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,06,CC,
1319851,00000103,false,Rx,0,8,02,00,02,00,00,00,06,06,
1324851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,08,95,
1329851,00000010,false,Rx,0,8,00,FF,61,30,00,00,05,AB,
1334851,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
1339851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,03,AF,
1344851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,03,7B,
1349851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,07,CD,
1354851,00000103,false,Rx,0,8,02,00,02,00,00,00,07,07,
1359851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,09,94,
1364851,00000410,false,Rx,0,8,3F,00,C4,00,00,FF,03,07,
1369851,00000110,false,Rx,0,8,00,00,00,7B,01,05,04,7B,
1374851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1379851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1384851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1389851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1394851,00000010,false,Rx,0,8,00,FF,61,30,00,00,06,A8,
1399851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
1404851,00000012,false,Rx,0,8,99,99,32,00,01,00,0B,38,
1409851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1414851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1419851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,03,03,
1424851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1429851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,08,C2,
1434851,00000103,false,Rx,0,8,02,00,02,00,00,00,08,08,
1439851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0A,97,
1444851,00000231,false,Rx,0,8,00,01,00,00,00,00,09,08,
1449851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1454851,00000010,false,Rx,0,8,00,FF,61,30,00,00,07,A9,
1459851,00000332,false,Rx,0,8,01,00,00,00,00,00,00,01,
1464851,00000530,false,Rx,0,8,FF,FF,6B,23,64,04,49,00,
1469851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,09,C3,
1474851,00000103,false,Rx,0,8,02,00,02,00,00,00,09,09,
1479851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0B,96,
1484851,00000110,false,Rx,0,8,00,00,00,7B,01,05,05,7A,
1489851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1494851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1499851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1504851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1509851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
1514851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,04,A8,
1519851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1524851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,04,7C,
1529851,00000410,false,Rx,0,8,3F,00,AA,30,00,FF,04,5E,
1534851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1539851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,04,04,
1544851,00000231,false,Rx,0,8,00,01,00,00,00,00,0A,0B,
1549851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1554851,00000010,false,Rx,0,8,00,FF,61,30,00,00,08,A6,
1559851,00000012,false,Rx,0,8,99,99,32,00,00,00,0C,3E,
1564851,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1569851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0A,C0,
1574851,00000103,false,Rx,0,8,02,00,02,00,00,00,0A,0A,
1579851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0C,91,
1584851,00000231,false,Rx,0,8,00,01,00,00,00,00,0B,0A,
1589851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1594851,00000010,false,Rx,0,8,00,FF,61,30,00,00,09,A7,
1599851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0B,C1,
1604851,00000103,false,Rx,0,8,02,00,02,00,00,00,0B,0B,
1609851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0D,90,
1614851,00000110,false,Rx,0,8,00,00,00,7B,01,05,06,79,
1619851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1624851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1629851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1634851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1639851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
1644851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,05,A9,
1649851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1654851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,05,7D,
1659851,00000410,false,Rx,0,8,3F,00,AA,30,00,FF,05,5F,
1664851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1669851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,05,05,
1674851,00000231,false,Rx,0,8,00,01,00,00,00,00,0C,0D,
1679851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1684851,00000010,false,Rx,0,8,00,FF,61,30,00,00,0A,A4,
1689851,00000012,false,Rx,0,8,99,99,32,00,01,00,0D,3E,
