Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
954161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,05,98,
959161,00000110,false,Rx,0,8,00,00,00,7B,01,05,02,7D,
964161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
969161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
974161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
979161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
984161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
989161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,02,AE,
994161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
999161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,02,7A,
1004161,00000410,false,Rx,0,8,3B,00,C4,00,00,FF,02,02,
1009161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1014161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,02,02,
1019161,00000010,false,Rx,0,8,00,FF,61,30,00,00,09,A7,
1024161,00000102,false,Rx,0,8,00,00,19,50,51,CD,04,D1,
1029161,00000103,false,Rx,0,8,02,00,02,00,00,00,04,04,
1034161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,06,9B,
1039161,00000231,false,Rx,0,8,00,01,00,00,00,00,07,06,
1044161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1049161,00000010,false,Rx,0,8,00,FF,61,30,00,00,0A,A4,
1054161,00000012,false,Rx,0,8,99,99,32,00,01,00,05,36,
1059161,00000102,false,Rx,0,8,00,00,19,50,51,CD,05,D0,
1064161,00000103,false,Rx,0,8,02,00,02,00,00,00,05,05,
1069161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,07,9A,
1074161,00000110,false,Rx,0,8,00,00,00,7B,01,05,03,7C,
1079161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1084161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1089161,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
1094161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1099161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1104161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
1109161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1114161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1119161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,03,AF,
1124161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,03,7B,
1129161,00000410,false,Rx,0,8,3B,00,C4,00,00,FF,03,03,
1134161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1139161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,03,03,
1144161,00000010,false,Rx,0,8,00,FF,61,30,00,00,0B,A5,
1149161,00000102,false,Rx,0,8,00,00,19,50,51,CD,06,D3,
1154161,00000103,false,Rx,0,8,02,00,02,00,00,00,06,06,
1159161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,08,95,
1164161,00000231,false,Rx,0,8,00,01,00,00,00,00,09,08,
1169161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1174161,00000010,false,Rx,0,8,00,FF,61,30,00,00,0C,A2,
1179161,00000012,false,Rx,0,8,99,99,32,00,00,00,06,34,
1184161,00000102,false,Rx,0,8,00,00,19,50,51,CD,07,D2,
1189161,00000103,false,Rx,0,8,02,00,02,00,00,00,07,07,
1194161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,09,94,
1199161,00000110,false,Rx,0,8,00,00,00,7B,01,05,04,7B,
1204161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1209161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1214161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1219161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1224161,00000332,false,Rx,0,8,01,00,00,00,00,00,06,07,
1229161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
1234161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1239161,00000530,false,Rx,0,8,FF,FF,6A,51,64,04,49,00,
1244161,00000231,false,Rx,0,8,00,01,00,00,00,00,0A,0B,
1249161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,04,A8,
1254161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,04,7C,
1259161,00000410,false,Rx,0,8,3B,00,AA,30,00,FF,04,5A,
1264161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1269161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,04,04,
1274161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1279161,00000010,false,Rx,0,8,00,FF,61,30,00,00,0D,A3,
1284161,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1289161,00000102,false,Rx,0,8,00,00,19,50,51,CD,08,DD,
1294161,00000103,false,Rx,0,8,02,00,02,00,00,00,08,08,
1299161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0A,97,
1304161,00000231,false,Rx,0,8,00,01,00,00,00,00,0C,0D,
1309161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1314161,00000102,false,Rx,0,8,00,00,19,50,51,CD,09,DC,
1319161,00000103,false,Rx,0,8,02,00,02,00,00,00,09,09,
1324161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0B,96,
1329161,00000010,false,Rx,0,8,00,FF,61,30,00,00,0E,A0,
1334161,00000110,false,Rx,0,8,00,00,00,7B,01,05,05,7A,
1339161,00000012,false,Rx,0,8,99,99,32,00,01,00,07,34,
1344161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1349161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1354161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1359161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1364161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
1369161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1374161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,05,A9,
1379161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,05,7D,
1384161,00000410,false,Rx,0,8,3B,00,AA,30,00,FF,05,5B,
1389161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1394161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,05,05,
1399161,00000231,false,Rx,0,8,00,01,00,00,00,00,0C,0D,
1404161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1409161,00000102,false,Rx,0,8,00,00,19,50,51,CD,0A,DF,
1414161,00000103,false,Rx,0,8,02,00,02,00,00,00,0A,0A,
1419161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0C,91,
1424161,00000010,false,Rx,0,8,00,FF,61,30,00,00,0F,A1,
